CTUID,priv_dwellings_by_bedroom,priv_dwellings_by_rooms,major_repairs,monthly_housing_costs,percent_mortgage,income_after_tax,house_by_person_per_room,avg_house_size,population,land_area
5370208,1240,1240,70,1348,61.8,65587,1240,2.2,3862,1.57
5370209,625,625,40,1447,59,77824,625,2.5,2505,0.74
5370210,935,930,70,1525,71.9,66341,935,2.5,3131,1.72
5370211,1255,1260,60,1497,64,66076,1255,2.5,1585,0.78
5370212,770,770,55,1210,58.6,69035,770,2.4,2444,1.19
5370213,2040,2040,135,1560,55,56768,2040,2.2,3012,1.75
5370214,1205,1200,110,981,47.8,66517,1205,1.8,1594,0.5
5370215,1245,1245,110,1126,46.8,62272,1240,2.2,3814,0.8
5370216,1475,1475,60,1515,48.2,120192,1475,2.1,2621,1.08
5370217.01,2445,2445,220,1117,52.3,50995,2445,2.8,2727,0.73
5370217.02,1365,1370,50,1038,50.8,83251,1365,2,4097,2.18
5370218,2690,2690,100,1530,64.1,80102,2690,2.5,5159,2.19
5370219,1580,1585,55,1528,51,117931,1580,2.6,3615,2.18
5370220,2545,2545,175,1179,49.3,68825,2545,2.9,6991,4.37
5370221,1180,1185,55,1428,59.3,85555,1185,2.2,4615,2.37
5370222.02,1745,1750,95,1251,57.2,75813,1750,2.7,6176,1.8
5370223.01,985,980,60,1415,64.1,81818,980,2.4,3107,1.14
5370223.02,1730,1725,80,1529,67.5,82859,1730,2.8,0,1.93
5370223.05,985,980,40,1718,70.8,105216,985,2.6,4246,1.41
5370223.06,1305,1305,35,1714,62.9,110336,1305,2.7,4577,1.01
5370223.07,1705,1710,70,1342,59.9,86374,1710,3.2,2645,1.62
5370223.09,2685,2690,35,2052,83,109391,2685,3,4577,2.49
5370223.1,1580,1580,10,1834,78.6,96293,1580,2.6,3157,0.98
5370223.12,3585,3590,135,1473,69.3,70326,3585,3.2,3954,1.44
5370223.13,1625,1620,40,1511,59.2,104661,1625,2.9,4428,1.21
5370223.14,1445,1440,10,1309,47.9,128213,1440,2.2,8665,2.85
5370223.15,865,860,20,1687,70.8,92736,865,2.8,4579,1.25
5370223.16,810,815,15,1538,69.5,84032,810,2.9,8457,8.35
5370224.01,3120,3120,10,2263,90.1,101001,3125,2.7,4480,1.81
5370224.02,1295,1300,75,1505,51.1,107264,1295,2.7,4300,1.58
5370300,725,725,45,1144,47.8,81050,725,3.4,2365,0.73
5370301,2850,2855,70,1510,70.2,83072,2855,2.8,2102,0.58
5370302,2430,2425,180,1086,55,59571,2425,2.8,10637,6.11
5370303.01,1440,1440,65,1346,61.9,85043,1440,2.7,3965,83.33
5370303.02,2930,2925,65,1408,60.6,89552,2930,2.2,1993,46
